Time,Channel A
(us),(V)

0.00000000,1.04776100
0.04000000,0.92129280
0.08000000,0.79482410
0.12000000,0.68642230
0.16000000,0.56001470
0.20000000,0.43354590
0.24000000,0.28901030
0.28000000,0.18060850
0.32000000,0.05413984
0.36000000,-0.05413984
0.40000000,-0.14447460
0.44000000,-0.25287640
0.48000000,-0.32514420
0.52000000,-0.41547900
0.56000000,-0.48774680
0.60000000,-0.56001470
0.64000000,-0.61415450
0.68000000,-0.68642230
0.72000000,-0.75869010
0.76000000,-0.83095790
0.80000000,-0.88515880
0.83999999,-0.95742670
0.87999999,-1.02969500
0.91999999,-1.08389500
0.95999999,-1.15616300
0.99999999,-1.19223600
1.03999999,-1.24643700
1.07999999,-1.26450400
1.11999999,-1.28257100
1.15999999,-1.26450400
1.19999999,-1.24643700
1.23999999,-1.21030300
1.27999999,-1.15616300
1.31999999,-1.08389500
1.35999999,-1.01162800
1.39999999,-0.90322580
1.43999999,-0.79482410
1.47999999,-0.66835530
1.51999999,-0.54194770
1.55999999,-0.39741200
1.59999999,-0.28901030
1.63999999,-0.14447460
1.67999999,-0.01800592
1.71999999,0.07220680
1.75999999,0.19867550
1.79999999,0.28901030
1.83999999,0.39741200
1.87999999,0.48774680
1.91999999,0.56001470
1.95999999,0.65028840
1.99999999,0.72255620
2.03999999,0.79482410
2.07999999,0.88515880
2.11999999,0.97549360
2.15999999,1.04776100
2.19999999,1.12002900
2.23999999,1.19223600
2.27999999,1.24643700
2.31999999,1.30063800
2.35999999,1.33677200
2.39999999,1.35483900
2.43999999,1.33677200
2.47999998,1.31870500
2.51999998,1.30063800
2.55999998,1.22837000
2.59999998,1.15616300
2.63999998,1.06582800
2.67999998,0.93935970
2.71999998,0.84902500
2.75999998,0.72255620
2.79999998,0.57808160
2.83999998,0.46967990
2.87999998,0.32514420
2.91999998,0.19867550
2.95999998,0.09027375
2.99999998,-0.01800592
3.03999998,-0.12640770
3.07999998,-0.21674250
3.11999998,-0.30707720
3.15999998,-0.39741200
3.19999998,-0.46967990
3.23999998,-0.54194770
3.27999998,-0.61415450
3.31999998,-0.68642230
3.35999998,-0.74062320
3.39999998,-0.81289100
3.43999998,-0.88515880
3.47999998,-0.95742670
3.51999998,-1.01162800
3.55999998,-1.08389500
3.59999998,-1.13809600
3.63999998,-1.17416900
3.67999998,-1.22837000
3.71999998,-1.24643700
3.75999998,-1.26450400
3.79999998,-1.26450400
3.83999998,-1.24643700
3.87999998,-1.22837000
3.91999998,-1.15616300
