Time	Channel A
(us)	(V)

0.00000000	1.25324300
0.04000000	1.34281400
0.08000000	1.34281400
0.12000000	1.38752400
0.16000000	1.38752400
0.20000000	1.38752400
0.24000000	1.38752400
0.28000000	1.34281400
0.32000000	1.29795200
0.36000000	1.25324300
0.40000000	1.20838000
0.44000000	1.07409900
0.48000000	1.02923700
0.52000000	0.93966490
0.56000000	0.85009310
0.60000000	0.71581160
0.64000000	0.62623980
0.68000000	0.49195840
0.72000000	0.35752430
0.76000000	0.26795250
0.80000000	0.13367110
0.83999999	-0.00061037
0.87999999	-0.13489180
0.91999999	-0.22446360
0.95999999	-0.35874510
0.99999999	-0.49317910
1.03999999	-0.58275090
1.07999999	-0.71703240
1.11999999	-0.80660420
1.15999999	-0.89617600
1.19999999	-0.98574790
1.23999999	-1.07532000
1.27999999	-1.12002900
1.31999999	-1.20960100
1.35999999	-1.25446300
1.39999999	-1.25446300
1.43999999	-1.29917300
1.47999999	-1.29917300
1.51999999	-1.34403500
1.55999999	-1.29917300
1.59999999	-1.25446300
1.63999999	-1.25446300
1.67999999	-1.20960100
1.71999999	-1.12002900
1.75999999	-1.07532000
1.79999999	-0.98574790
1.83999999	-0.89617600
1.87999999	-0.80660420
1.91999999	-0.71703240
1.95999999	-0.62746050
1.99999999	-0.53788870
2.03999999	-0.35874510
2.07999999	-0.26917330
2.11999999	-0.13489180
2.15999999	-0.00061037
2.19999999	0.08880886
2.23999999	0.22324290
2.27999999	0.35752430
2.31999999	0.44709620
2.35999999	0.58153020
2.39999999	0.71581160
2.43999999	0.80538340
2.47999998	0.85009310
2.51999998	0.98452710
2.55999998	1.07409900
2.59999998	1.11880900
2.63999998	1.16367100
2.67999998	1.25324300
2.71999998	1.25324300
2.75999998	1.29795200
2.79999998	1.34281400
2.83999998	1.29795200
2.87999998	1.34281400
2.91999998	1.29795200
2.95999998	1.25324300
2.99999998	1.20838000
3.03999998	1.16367100
3.07999998	1.11880900
3.11999998	1.02923700
3.15999998	0.93966490
3.19999998	0.89495530
3.23999998	0.76052120
3.27999998	0.67110200
3.31999998	0.58153020
3.35999998	0.49195840
3.39999998	0.35752430
3.43999998	0.22324290
3.47999998	0.13367110
3.51999998	-0.00061037
3.55999998	-0.13489180
3.59999998	-0.22446360
3.63999998	-0.35874510
3.67999998	-0.49317910
3.71999998	-0.58275090
3.75999998	-0.67232280
3.79999998	-0.76174200
3.83999998	-0.89617600
3.87999998	-0.94088570
3.91999998	-0.98574790
