Time	Channel A
(us)	(V)

0.00000000	1.31870500
0.04000000	1.28257100
0.08000000	1.22837000
0.12000000	1.13809600
0.16000000	1.04776100
0.20000000	0.95742670
0.24000000	0.83095790
0.28000000	0.70448930
0.32000000	0.57808160
0.36000000	0.45161290
0.40000000	0.32514420
0.44000000	0.21674250
0.48000000	0.07220680
0.52000000	-0.01800592
0.56000000	-0.12640770
0.60000000	-0.21674250
0.64000000	-0.30707720
0.68000000	-0.37934510
0.72000000	-0.45161290
0.76000000	-0.54194770
0.80000000	-0.59608750
0.83999999	-0.66835530
0.87999999	-0.74062320
0.91999999	-0.81289100
0.95999999	-0.88515880
0.99999999	-0.93935970
1.03999999	-1.01162800
1.07999999	-1.08389500
1.11999999	-1.13809600
1.15999999	-1.19223600
1.19999999	-1.22837000
1.23999999	-1.26450400
1.27999999	-1.28257100
1.31999999	-1.28257100
1.35999999	-1.24643700
1.39999999	-1.22837000
1.43999999	-1.17416900
1.47999999	-1.10196200
1.51999999	-1.01162800
1.55999999	-0.92129280
1.59999999	-0.81289100
1.63999999	-0.68642230
1.67999999	-0.57808160
1.71999999	-0.43354590
1.75999999	-0.30707720
1.79999999	-0.19867550
1.83999999	-0.07220680
1.87999999	0.05413984
1.91999999	0.16254160
1.95999999	0.27094330
1.99999999	0.36127810
2.03999999	0.46967990
2.07999999	0.54194770
2.11999999	0.61415450
2.15999999	0.70448930
2.19999999	0.77675710
2.23999999	0.84902500
2.27999999	0.93935970
2.31999999	1.01162800
2.35999999	1.08389500
2.39999999	1.15616300
2.43999999	1.22837000
2.47999998	1.30063800
2.51999998	1.31870500
2.55999998	1.35483900
2.59999998	1.35483900
2.63999998	1.33677200
2.67999998	1.30063800
2.71999998	1.22837000
2.75999998	1.15616300
2.79999998	1.08389500
2.83999998	0.97549360
2.87999998	0.86709190
2.91999998	0.74062320
2.95999998	0.61415450
2.99999998	0.48774680
3.03999998	0.36127810
3.07999998	0.21674250
3.11999998	0.10834070
3.15999998	0.00000000
3.19999998	-0.10834070
3.23999998	-0.21674250
3.27999998	-0.30707720
3.31999998	-0.37934510
3.35999998	-0.43354590
3.39999998	-0.52388070
3.43999998	-0.57808160
3.47999998	-0.65028840
3.51999998	-0.72255620
3.55999998	-0.79482410
3.59999998	-0.86709190
3.63999998	-0.93935970
3.67999998	-1.01162800
3.71999998	-1.06582800
3.75999998	-1.12002900
3.79999998	-1.17416900
3.83999998	-1.22837000
3.87999998	-1.24643700
3.91999998	-1.28257100
